cve,repo,commit list,Merge,Mirror,Better Solution,Fixing-of-Fixing,Collaboration,Separation
CVE-2023-33976,tensorflow_tensorflow,"6fa05df
915884f",,{'915884fdf5df34aaedd00fc6ace33a2cfdefa586': ['6fa05df43b00038b048f4f0e51ef522da6532fec']},,,,
CVE-2023-34096,sni_Thruk,"26de047
cf03f67",,,,,,"['26de047275c355c5ae2bbbc51b164f0f8bef5c5b', 'cf03f67621b7bb20e2c768bc62b30e976206aa17']"
CVE-2023-34238,gatsbyjs_gatsby,"ae5a654
fc22f4b",,{'ae5a654eb346b2e7a9d341b809b2f82d34c0f17c': ['fc22f4ba3ad7ca5fb3592f38f4f0ca8ae60b4bf7']},,,,
CVE-2023-35174,livebook-dev_livebook,"2e11b59
beb10da",,{'2e11b59f677c6ed3b6aa82dad412a8b3406ffdf1': ['beb10daaadcc765f0380e436bd7cd5f74cf086c8']},,,,
CVE-2023-35946,gradle_gradle,"859eae2
b07e528",{'b07e528feb3a5ffa66bdcc358549edd73e4c8a12': ['859eae2b2acf751ae7db3c9ffefe275aa5da0d5d']},,,,,
CVE-2023-36456,goauthentik_authentik,"1502674
c07a48a",,{'15026748d19d490eb2baf9a9566ead4f805f7dff': ['c07a48a3eccbd7b23026f72136d3392bbc6f795a']},,,,
CVE-2023-36475,parse-community_parse-server,"3dd99dd
5fad292",,{'3dd99dd80e27e5e1d99b42844180546d90c7aa90': ['5fad2928fb8ee17304abcdcf259932f827d8c81f']},,,,
CVE-2023-36806,contao_contao,"5c9aff3
c98585d
ccb64c7",,"{""5c9aff32cfc1f7dc452a045862ac2f86a6b9b4b4"": [""c98585d36baa25fda69c062421e7e7eadc53c82b"", ""ccb64c777eb0f9c0e6490c9135d80e915d37cd32""]}",,,,
CVE-2023-36809,kiwitcms_kiwi,"195ea53
ffb0045",,,,,,"['195ea53eaaf360c19227c864cc0fe58910032c3c', 'ffb00450be52fe11a82a2507632c2328cae4ec9d']"
CVE-2023-37267,umbraco_Umbraco-CMS,"1f26f2c
20a4e47
82eae48",,"{""1f26f2c6f3428833892cde5c6d8441fb041e410e"": [""20a4e475c8d7b91d263e4e103ef19f3644e7b569"", ""82eae48d098b9deecbdf86cf288b2b18020e1fed""]}",,,,
CVE-2023-39533,libp2p_go-libp2p,"0cce607
445be52
e30fcf7",,"{'0cce607219f3710addc7e18672cffd1f1d912fbb': ['445be526aea4ee0b1fa5388aa65d32b2816d3a00', 'e30fcf7dfd4715ed89a5e68d7a4f774d3b9aa92d']}",,,,
CVE-2023-40014,OpenZeppelin_openzeppelin-contracts,"9445f96
e4435ee",,{'9445f96223041abf2bf08daa56f8da50b674cbcd': ['e4435eed757d4309436b1e06608e97b6d6e2fdb5']},,,,
CVE-2023-40030,rust-lang_cargo,"9835622
f975722",,,,,,"['9835622853f08be9a4b58ebe29dcec8f43b64b33', 'f975722a0eac934c0722f111f107c4ea2f5c4365']"
CVE-2023-41048,plone_plone.namedfile,"188f66a
217d6ce
f0f911f
ff5269f",,"{'188f66a4577021cf8f2bf7c0f5150f9b9573f167': ['217d6ce847b7171bf1b73fcb6c08010eb449216a', 'f0f911f2a72b2e5c923dc2ab9179319cc47788f9', 'ff5269fb4c79f4eb91dd934561b8824a49a03b60']}",,,,
CVE-2023-41879,OpenMage_magento-lts,"2a2a2fb
31e74ac",,{'2a2a2fb504247e8966f8ffc2e17d614be5d43128': ['31e74ac5d670b10001f88f038046b62367f15877']},,,,
CVE-2023-41884,ZoneMinder_zoneminder,"677f6a3
a194fe8",,{'a194fe81d34c5eea2ab1dc18dc8df615fca634a6': ['677f6a31551f128554f7b0110a52fd76453a657a']},,,,
CVE-2023-4223,chamilo_chamilo-lms,"3d74fb7
6f32625
e864127",,,,,,"['3d74fb7d99bd2e287730552f7a66562417a55047', '6f32625a012d5de2dfe8edbccb4ed14a85e310d4', 'e864127a440c2cab0eb62c113a04e2e904543a1f']"
CVE-2023-4224,chamilo_chamilo-lms,"6f32625
e864127
f3d62b6",,,,,,"['6f32625a012d5de2dfe8edbccb4ed14a85e310d4', 'e864127a440c2cab0eb62c113a04e2e904543a1f', 'f3d62b65ad60d68096c2674d5695339f04de0b8a']"
CVE-2023-42799,moonlight-stream_moonlight-common-c,"02b7742
50c0a51",,,,"{""50c0a51b10ecc5b3415ea78c21d96d679e2288f9"": [""02b7742f4d19631024bd766bd2bb76715780004e""]}",,
CVE-2023-42800,moonlight-stream_moonlight-common-c,"24750d4
50c0a51",,,,"{""50c0a51b10ecc5b3415ea78c21d96d679e2288f9"": [""24750d4b748fefa03d09fcfd6d45056faca354e0""]}",,
CVE-2023-43641,lipnitsk_libcue,"cfb98a0
fdf72c8",,,,,,"['cfb98a060fd79dbc3463d85f0f29c3c335dfa0ea', 'fdf72c8bded8d24cfa0608b8e97f2eed210a920e']"
CVE-2023-43655,composer_composer,"4fce147
955a48e
95e091c",,"{'955a48e6319c8962e5cd421b07c00ab3c728968c': ['4fce14795aba98e40b6c4f5047305aba17a6120d', '95e091c921037b7b6564942845e7b738f6b95c9c']}",,,,
CVE-2023-44389,zopefoundation_Zope,"21dfa78
aeaf2cd",,"{""21dfa78609ffd8b6bd8143805678ebbacae5141a"": [""aeaf2cdc80dff60815e3706af448f086ddc3b98d""]}",,,,
CVE-2023-45816,discourse_discourse,"2c45b94
3c5fb87",,{'3c5fb871c0f54af47679ae71ad449666b01d8216': ['2c45b949ea0e9d6fa8e5af2dd07f6521ede08bf1']},,,,
CVE-2023-45897,exfatprogs_exfatprogs,"22d0e43
4abc55e
ec78688",,,,,,"['22d0e43e8d24119cbfc6efafabb0dec6517a86c4', '4abc55e976573991e6a1117bb2b3711e59da07ae', 'ec78688e5fb5a70e13df82b4c0da1e6228d3ccdf']"
CVE-2023-46733,symfony_symfony,"7467bd7
dc35649",{'7467bd7e3f888b333102bc664b5e02ef1e7f88b9': ['dc356499d5ceb86f7cf2b4c7f032eca97061ed74']},,,,,
CVE-2023-46734,symfony_symfony,"5d095d5
9da9a14",{'5d095d5feb1322b16450284a04d6bb48d1198f54': ['9da9a145ce57e4585031ad4bee37c497353eec7c']},,,,,
CVE-2023-47119,discourse_discourse,"628b293
d783579",,{'d78357917c6a917a8a27af68756228e89c69321c': ['628b293ff53fb617b3464dd27268aec84388cc09']},,,,
CVE-2023-47120,discourse_discourse,"95a82d6
e910dd0",,{'95a82d608d6377faf68a0e2c5d9640b043557852': ['e910dd09140cb4abc3a563b95af4a137ca7fa0ce']},,,,
CVE-2023-47129,statamic_cms,"098ef80
f6c6881",,{'098ef8024d97286ca501273c18ae75b646262d75': ['f6c688154f6bdbd0b67039f8f11dcd98ba061e77']},,,,
CVE-2023-48230,capnproto_capnproto,"75c5c14
e7f22da",,{'75c5c1499aa6e7690b741204ff9af91cce526c59': ['e7f22da9c01286a2b0e1e5fbdf3ec9ab3aa128ff']},,,,
CVE-2023-48705,nautobot_nautobot,"362850f
54abe23",,"{""54abe23331b6c3d0d82bf1b028c679b1d200920d"": [""362850f5a94689a4c75e3188bf6de826c3b012b2""]}",,,,
CVE-2023-48713,knative_serving,"012ee25
101f814
fff40ef",,"{'fff40ef7bac9be8380ec3d1c70fc15b57093382a': ['012ee2509231b80b7842139bfabc30516d3026ca', '101f814112b9ca0767f457e7e616b46205551cf1']}",,,,
CVE-2023-49090,carrierwaveuploader_carrierwave,"39b282d
863d425",,"{""863d425c76eba12c3294227b39018f6b2dccbbf3"": [""39b282db5c1303899b3d3381ce8a837840f983b5""]}",,,,
CVE-2023-49285,squid-cache_squid,"77b3fb4
deee944",,"{""77b3fb4df0f126784d5fd4967c28ed40eb8d521b"": [""deee944f9a12c9fd399ce52f3e2526bb573a9470""]}",,,,
CVE-2023-50254,linuxdeepin_deepin-reader,"4db7a07
c192fd2",,,,,,"['4db7a079fb7bd77257b1b9208a7ab26aade8fe04', 'c192fd20a2fe4003e0581c3164489a89e06420c6']"
CVE-2023-50263,nautobot_nautobot,"458280c
7c4cf31",,{'458280c359a4833a20da294eaf4b8d55edc91cee': ['7c4cf3137f45f1541f09f2f6a7f8850cd3a2eaee']},,,,
CVE-2023-50723,xwiki_xwiki-platform,"0f367aa
1157c1e
749f6ae
bd82be9",,,,,,"['0f367aaae4e0696f61cf5a67a75edd27d1d16db6', '1157c1ecea395aac7f64cd8a6f484b1225416dc7', '749f6aee1bfbcf191c3734ea0aa9eba3aa63240e', 'bd82be936c21b65dee367d558e3050b9b6995713']"
CVE-2023-52086,dilab_resumable.php,"3c6dbf5
3e3c94d
408f54d
d3552ef",{'3c6dbf5170b01cbb712013c7d0a83f5aac45653b': ['d3552efd403e2d87407934477eee642836cab3b4']},,,,,"['3c6dbf5170b01cbb712013c7d0a83f5aac45653b', '3e3c94d0302bb399a7611b4738a5a4dd0832a926', '408f54dff10e48befa44d417933787232a64304b']"
CVE-2023-5631,roundcube_roundcubemail,"41756cc
6ee6e7a",,{'6ee6e7ae301e165e2b2cb703edf75552e5376613': ['41756cc3331b495cc0b71886984474dc529dd31d']},,,,
CVE-2023-7256,the-tcpdump-group_libpcap,"262e4f3
2aa69b0",,{'262e4f34979872d822ccedf9f318ed89c4d31c03': ['2aa69b04d8173b18a0e3492e0c8f2f7fabdf642d']},,,,
CVE-2024-21536,chimurai_http-proxy-middleware,"0b4274e
788b21e",,"{""788b21e4aff38332d6319557d4a5b1b13b1f9a22"": [""0b4274e8cc9e9a2c5a06f35fbf456ccfcebc55a5""]}",,,,
CVE-2024-21622,craftcms_cms,"76caf9a
be81eb6",,,,,,"['76caf9af07d9964be0fd362772223be6a5f5b6aa', 'be81eb653d633833f2ab22510794abb6bb9c0843']"
CVE-2024-22211,FreeRDP_FreeRDP,"939e922
aeac304",,"{""939e922936e9c3ae8fc204968645e5e7563a2fff"": [""aeac3040cc99eeaff1e1171a822114c857b9dca9""]}",,,,
CVE-2024-23345,nautobot_nautobot,"17effcb
64312a4",,"{""17effcbe84a72150c82b138565c311bbee357e80"": [""64312a4297b5ca49b6cdedf477e41e8e4fd61cce""]}",,,,
CVE-2024-23638,squid-cache_squid,"290ae20
e8118a7",,,,,,"['290ae202883ac28a48867079c2fb34c40efd382b', 'e8118a7381213f5cfcdeb4cec1d2d854bfd261c8']"
CVE-2024-37151,OISF_suricata,"9d5c427
aab7f35",,{'9d5c4273cb7e5ca65f195f7361f0d848c85180e0': ['aab7f35c76721df19403a7c0c0025feae12f3b6b']},,,,
CVE-2024-37165,discourse_discourse,"26aef0c
311b737",,{'311b737c910cf0a69f61e1b8bc0b78374b6619d2': ['26aef0c288839378b9de5819e96eac8cf4ea60fd']},,,,
CVE-2024-37299,discourse_discourse,"188cb58
76f06f6",,{'188cb58daa833839c54c266ce22db150a3f3a210': ['76f06f6b1491db6bd09a4017d2c5591431b3b16e']},,,,
CVE-2024-37901,xwiki_xwiki-platform,"0b13576
742cd45
9ce3e03
bbde8a4",,"{""742cd4591642be4cdcaf68325f17540e0934e64e"": [""0b135760514fef73db748986a3311f3edd4a553b"", ""9ce3e0319869b6d8131fc4e0909736f7041566a4"", ""bbde8a4f564e3c28839440076334a9093e2b4834""]}",,,,
CVE-2024-38535,OISF_suricata,"62d5cac
c82fa5c",,"{""62d5cac1b8483d5f9d2b79833a4e59f5d80129b7"": [""c82fa5ca0d1ce0bd8f936e0b860707a6571373b2""]}",,,,
CVE-2024-39320,discourse_discourse,"188cb58
76f06f6",,"{""188cb58daa833839c54c266ce22db150a3f3a210"": [""76f06f6b1491db6bd09a4017d2c5591431b3b16e""]}",,,,
CVE-2024-39324,aimeos_ai-admin-graphql,"4eabc2b
687059d
a839a5a
acbb044",,"{""4eabc2b973509ffa5924e7f88c8f87ee96e93b38"": [""687059d7eb2e1d55a09ed72dad3814f35edad038""]}",,,"{""a839a5adf16fee4221d444b7d2f5140d8cabf0ac"": [""687059d7eb2e1d55a09ed72dad3814f35edad038""]}","[""a839a5adf16fee4221d444b7d2f5140d8cabf0ac"", ""acbb044620f4ff8e8d78a775cd205ec47cf119b3""] "
CVE-2024-41675,ckan_ckan,"9e89ce8
d7dfe8c",,{'9e89ce8220ab1445e0bd85a67994a51d9d3d2688': ['d7dfe8c427b1c63c75d788a609f3b7d7620a25a1']},,,,
CVE-2024-41809,openobserve_openobserve,"2334377
6458726",,,,,,"['2334377ebc8b74beb06ab3e5712dbdb1be1eff02', '64587261968217dfb8af4c4f6054d58bbc6d331d']"
CVE-2024-41942,jupyterhub_jupyterhub,"99e2720
ff2db55",,"{""ff2db557a85b6980f90c3158634bf924063ab8ba"": [""99e2720b0fc626cbeeca3c6337f917fdacfaa428""]}",,,,
CVE-2024-42482,fish-shop_syntax-check,"91e6817
c2cb113",{'c2cb11395e21119ff8d6e7ea050430ee7d6f49ca': ['91e6817c48ad475542fe4e78139029b036a53b03']},,,,,
CVE-2024-43782,openedx_openedx-translations,"3c40937
b244434",,"{""b2444340e8702c7955310331c1db5fd85b25b92b"": [""3c4093705dec99590577c4d8270ce263f7fffc5a""]}",,,,
CVE-2024-43800,expressjs_serve-static,"0c11fad
ce73089",,"{""0c11fad159898cdc69fd9ab63269b72468ecaf6b"": [""ce730896fddce1588111d9ef6fdf20896de5c6fa""]}",,,,
CVE-2024-45409,SAML-Toolkits_ruby-saml,"1ec5392
4865d03",{'4865d030cae9705ee5cdb12415c654c634093ae7': ['1ec5392bc506fe43a02dbb66b68741051c5ffeae']},,,,,
CVE-2024-45411,twigphp_Twig,"11f68e2
2102dd1
7afa198",,"{'11f68e2aeb526bfaf638e30d4420d8a710f3f7c6': ['2102dd135986db79192d26fb5f5817a566e0a7de', '7afa198603de49d147e90d18062e7b9addcf5233']}",,,,
CVE-2024-45591,xwiki_xwiki-platform,"26482ee
9cbca98","{""26482ee5d29fc21f31134d1ee13db48716e89e0f"": [""9cbca9808300797c67779bb9a665d85cf9e3d4b8""]}",,,,,

