cve,repo,commit list,Merge,Mirror,Better Solution,Fixing-of-Fixing,Collaboration,Separation
CVE-2021-38593,qt_qtbase,"1ca02cf
202143b
6b400e3",,"{'6b400e3147dcfd8cc3a393ace1bd118c93762e0c': ['1ca02cf2879a5e1511a2f2109f0925cf4c892862', '202143ba41f6ac574f1858214ed8bf4a38b73ccd']}",,,,
CVE-2021-39193,paritytech_frontier,"0b962f2
8a2b890",,"{""0b962f218f0cdd796dadfe26c3f09e68f7861b26"": [""8a2b890a2fb477d5fedd0e4335b00623832849ae""]}",,,,
CVE-2021-39207,facebookresearch_ParlAI,"4374fa2
507d066",,,,,,"['4374fa2aba383db6526ab36e939eb1cf8ef99879', '507d066ef432ea27d3e201da08009872a2f37725']"
CVE-2021-41106,lcobucci_jwt,"8175de5
c45bb8b",,{'8175de5b841fbe3fd97d2d49b3fc15c4ecb39a73': ['c45bb8b961a8e742d8f6b88ef5ff1bd5cca5d01c']},,,,
CVE-2021-41120,Sylius_PayPalPlugin,"2adc46b
814923c","{""814923c2e9d97fe6279dcee866c34ced3d2fb7a7"": [""2adc46be2764ccee22b4247139b8056fb8d1afff""]}",,,,"{""2adc46be2764ccee22b4247139b8056fb8d1afff"": [""814923c2e9d97fe6279dcee866c34ced3d2fb7a7""]}",
CVE-2021-41139,anuko_timetracker,"5599067
d3f60bd",,,{'559906731f153c9b3a632c2839ed11669b76d593': ['d3f60bd3e3ea8ff8ec31a596baec6750af601b7c']},,,
CVE-2021-41166,nextcloud_android,"aa47197
b6ecf51",{'aa47197109970b8449c4e44601eba36e3481b086': ['b6ecf515b38c2d82d32743f27236534f3e03ee0c']},,,,,
CVE-2021-41197,tensorflow_tensorflow,"7c1692b
a871989
d81b135",,,,,,"['7c1692bd417eb4f9b33ead749a41166d6080af85', 'a871989d7b6c18cdebf2fb4f0e5c5b62fbc19edf', 'd81b1351da3e8c884ff836b64458d94e4a157c15']"
CVE-2021-41227,tensorflow_tensorflow,"1cb6bb6
3712a2d",,,,,,"['1cb6bb6c2a6019417c9adaf9e6843ba75ee2580b', '3712a2d3455e6ccb924daa5724a3652a86f6b585']"
CVE-2021-41242,OpenOLAT_OpenOLAT,"336d5ce
c450df7",,,,,,"['336d5ce80681be61a0bbf4f73d2af5d1ff67e93a', 'c450df7d7ffe6afde39ebca6da9136f1caa16ec4']"
CVE-2021-41269,jmrozanec_cron-utils,"cfd2880
d670750",,,,,,"['cfd2880f80e62ea74b92fa83474c2aabdb9899da', 'd6707503ec2f20947f79e38f861dba93b39df9da']"
CVE-2021-41750,nystudio107_craft-seomatic,"4e46b79
5f2cdc7",,,,,{'5f2cdc7c39e0a4bfb60d2f84131508f0a87b2873': ['4e46b792ce973ac0c652fb330055f41aca1981c8']},
CVE-2021-4213,dogtagpki_jss,"3aabe0e
5922560",,,,,,"['3aabe0e9d59b0a42e68ac8cd0468f9c5179967d2', '5922560a78d0dee61af8a33cc9cfbf4cfa291448']"
CVE-2021-42341,OpenRC_openrc,"63db2d9
bb83341",,,,{'63db2d99e730547339d1bdd28e8437999c380cae': ['bb8334104baf4d5a4a442a8647fb9204738f2204']},,
